Unnamed: 0,Time,User,Tweet,Location,Retweets,cleaned_tweet,label
,,,"I'm rather looking forward to replacing the Penn's of the world with an AI. Start with the writers, sure, then obnoxious actors. WHAT is the old quip about makers of buggy whips? Where was the sympathy for them when technology overtook their profession? Big smile now, Sean!!",,,rather looking forward replacing Penn world AI Start writer sure obnoxious actor old quip maker buggy whip ? sympathy technology overtook profession ? Big smile Sean ! !,positive
,,,"I booked a total of guests this week for spots on the pod between now and nd week of June. Must. Add. More. Some cool folks will be dropping by including an AI researcher (!!!), comedians, actors, The Queen of JAM, Bri from NumoSpect, creator of",,,booked total guest week spot pod nd week June Must Add More cool folk dropping including AI researcher ! ! ! comedian actor Queen JAM Bri NumoSpect creator,positive
,,,"I booked a total of guests this week for spots on the pod between now end nd week of June. Must. Add. More. Some cool folks will be dropping by including an AI researcher (!!!), comedians, actors, The Queen of JAM, Bri from NumoSpect, creator of",,,booked total guest week spot pod end nd week June Must Add More cool folk dropping including AI researcher ! ! ! comedian actor Queen JAM Bri NumoSpect creator,positive
,,,"Film producers are the obsolete group... actors like Tom Cruise understand the craft of storytelling, and expressing that in an ideal fashion will be the work of AI. The woke agenda is going to be rendered obsolete as well",,,Film producer obsolete group actor like Tom Cruise understand craft storytelling expressing ideal fashion work AI woke agenda going rendered obsolete well,positive
,,,So they will protest and Hollywood will die. The new Hollywood will be scripts by AI using non union actors.,,,protest Hollywood die new Hollywood script AI using non union actor,negative
,,,AI does not cause productivity loss due to labor disruption. What leverage do writers and actors think they have to negotiate with?,,,AI not cause productivity loss due labor disruption leverage writer actor think negotiate ?,negative
,,,"They are trying to strike about this at the wrong time imo. AI is an augmentation tool currently. Making films better and faster, only replacing redundant work. They have been able to recreate actors with cgi for a while now. No AI needed, AI will makes it cheaper. Next?",,,trying strike wrong time imo AI augmentation tool currently Making film better faster replacing redundant work able recreate actor cgi while No AI needed AI make cheaper Next ?,negative
,,,Do they believe that an SEC-like regulatory body should be formed to keep AI out of the hands of bad actors?,,,believe SEC-like regulatory body should formed keep AI hand bad actor ?,negative
,,,"Perhaps we should have an annual Inadequate Civilizational AI Risk Preparation Mourning Day and offer prizes to whoever can produce artworks, such as speeches or short stories, that are most likely to motivate coordination from relevant actors.",,,Perhaps should annual Inadequate Civilizational AI Risk Preparation Mourning Day offer prize whoever produce artwork speech short story most likely motivate coordination relevant actor,negative
,,,"The current secretary of defense is Black, the incoming joint chief of staff is Black, the SEA is Black, the current AI Czar is Black, not to mention all of the Black leadership at the state and municipal levels thats just government actors. Well make it.",,,current secretary defense Black incoming joint chief staff Black SEA Black current AI Czar Black not mention Black leadership state municipal level thats government actor Well make,positive
,,,Dont worry erika! The AI wont have as much emotion as real voice actors!! The love for characters &amp; devotion in the story of VAs CANT be replaced AI We respect you all and love ur voice actscuz of you guys I aspire to be a voice actor as well(),,,Dont worry erika ! AI wont much emotion real voice actor ! ! love character devotion story VAs CANT replaced AI respect love ur voice actscuz guy aspire voice actor well,positive
,,,"Real voice actors &gt; hollow robot voices For the sake of your integrity, don't use AI voices. You can find real VAs easily.",,,Real voice actor gt hollow robot voice sake integrity use AI voice find real VAs easily,positive
,,,"I see what you are saying (if you are not in fact AI!) and I would like to see real actors in the TV and film I watch. However, striking has never worked against new technologies since the 's so it probably won't work now. You might have to find new creative ways to use your",,,see saying not fact AI ! would like see real actor TV film watch However striking never worked against new technology since probably won work might find new creative way use,positive
,,,"I dont think people are gonna get into AI movies and actors. Unless the AI gets so good theyre able to trick people into thinking the actors are real. It will have to be a really big lie with AI awards shows, celebrity gossip media about AI actors all propping up this lie.",,,dont think people gon na get AI movie actor Unless AI get good theyre able trick people thinking actor real really big lie AI award show celebrity gossip medium AI actor propping lie,positive
,,,"And on top of it all, actors who never get sick, dont need pension and health, get into culture war scandals. Just pay a image license fee to their estates and a script made by AI with no residuals or line item paysthats where it is going. I dont want it to be but it is.",,,top actor never get sick dont need pension health get culture war scandal pay image license fee estate script made AI no residual line item paysthats going dont want but,negative
,,,"AI's evolution leaves me speechless, and it just did a mic drop with DragGAN. With this groundbreaking technology, you become the director, and pixels are your actors. Play with poses, tweak shapes, and rearrange reality with a simple drag. Mind-blowing.",,,AI evolution leaf speechless mic drop DragGAN groundbreaking technology become director pixel actor Play pose tweak shape rearrange reality simple drag Mind-blowing,negative
,,,"AI is a threat to writers, actors and directors",,,AI threat writer actor director,negative
,,,This shit is an insult to voice actors. Say no to AI,,,shit insult voice actor Say no AI,negative
,,,"Yes, thats the bright future of already well know actors... they just need to sell their IP to creators / studios, retiring on their lifes achievment.",,,Yes thats bright future already well know actor need sell IP creator studio retiring life achievment,positive
,,,Thanks for proving just why we need to be backing these writers and actors who are striking against the use of Ai. By dropping this hideous ass video she has single-handedly showed us why its important to keep REAL creatives in the storytelling seats of Hollywood.,,,Thanks proving need backing writer actor striking against use Ai dropping hideous as video single-handedly showed u important keep REAL creatives storytelling seat Hollywood,positive
,,,See u showed us what Keanu showed us they dont need actors no more to act they got ai ti take ur jobs now,,,See showed u Keanu showed u dont need actor no more act got ai ti take ur job,positive
,,,More and more you sound like you're working for bad actors. Now you're harvesting people's voices? Why? To be able to AI and make compromising recordings? Sounds nefarious. PUBLIC: BEWARE,,,More more sound like 're working bad actor 're harvesting people voice ? ? able AI make compromising recording ? Sounds nefarious PUBLIC BEWARE,negative
,,,"I'm not saying that Youtubers aren't creators, but like the actors, they are the last one that will be bothered by AI. They all will have the live easier, especially when they are already so rich, while we all die.",,,not saying Youtubers creator but like actor last one bothered AI live easier especially already rich while die,positive
