Unnamed: 0,Time,User,Tweet,Location,Retweets,sentiment
0,2023-05-20 14:34:35+00:00,Jun17761,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,,260,neutral
1,2023-05-20 14:34:20+00:00,SeibaaHomu,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,"Newcastle, Awabakal Country",260,neutral
2,2023-05-20 14:33:27+00:00,hannah_chapin,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,"New Jersey, USA",260,neutral
3,2023-05-20 14:33:17+00:00,8_cake_,RT @tprstly: Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profe…,"Noongar land, always",23,negative
4,2023-05-20 14:33:09+00:00,HaybaleVoice,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,"Dallas, TX",260,neutral
5,2023-05-20 14:32:06+00:00,dilfomaniac,RT @trendsryder: Thanks @BebeRexha for proving just why we need to be backing these writers and actors who are striking against the use of…,mads mikkelsen furniture ad,4,positive
6,2023-05-20 14:31:45+00:00,stuff4598,RT @tprstly: Are voice actors part of the WGA strikes or the Hollywood actors strike vote? Because generative AI is about to rob this profe…,,23,negative
7,2023-05-20 14:29:36+00:00,GundyGirl,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","Los Angeles, CA",101,neutral
8,2023-05-20 14:29:34+00:00,levaethyn,RT @ShotOne_: Important issues like what? Facilitating theft? Depriving indie creators of jobs? Screw that. We'll ALWAYS support real voice…,"black, 19",32,positive
9,2023-05-20 14:29:20+00:00,blind_knowledge,"RT @RadioKnowledge: I booked a total of 8 guests this week for spots on the pod between now and 2nd week of June. 

Must.  Add.   More.…",Worldwide,1,positive
10,2023-05-20 14:29:07+00:00,lope33696450,"@KATUNews I'm rather looking forward to replacing the Penn's of the world with an AI. Start with the writers, sure, then obnoxious actors.

WHAT is the old quip about makers of buggy whips? Where was the sympathy for them when technology overtook their profession?  Big smile now, Sean!!",Eastern Oregon (the red side),0,positive
11,2023-05-20 14:28:25+00:00,threepwood007,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,"King of Prussia, PA",260,neutral
12,2023-05-20 14:28:10+00:00,RadioKnowledge,"I booked a total of 8 guests this week for spots on the pod between now and 2nd week of June. 

Must.  Add.   More.  

Some cool folks will be dropping by including an AI researcher (!!!), comedians, 2 actors, The Queen of JAM, Bri from NumoSpect, creator of… https://t.co/4V4iO81I2R",WorldWide,1,positive
13,2023-05-20 14:27:30+00:00,morelandwriter,"RT @NationalWorld: SAG-AFTRA has recommended its members vote to back a strike, with a fall in streaming residuals and fears around AI repl…",Behind the sofa,4,negative
14,2023-05-20 14:27:22+00:00,RadioKnowledge,"I booked a total of 8 guests this week for spots on the pod between now end 2nd week of June. 

Must.  Add.   More.  

Some cool folks will be dropping by including an AI researcher (!!!), comedians, 2 actors, The Queen of JAM, Bri from NumoSpect, creator of… https://t.co/nNsx7EchXk",WorldWide,0,positive
15,2023-05-20 14:26:59+00:00,heyits_shine,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,"Boston, MA",260,neutral
16,2023-05-20 14:26:12+00:00,NationalWorldTV,"RT @NationalWorld: SAG-AFTRA has recommended its members vote to back a strike, with a fall in streaming residuals and fears around AI repl…",Watching television,4,negative
17,2023-05-20 14:23:54+00:00,ChaosKnux,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,,317,negative
18,2023-05-20 14:23:44+00:00,btcMGTOW,"@lookatbowen @WallStreetSilv Film producers are the obsolete group... actors like Tom Cruise understand the craft of storytelling, and expressing that in an ideal fashion will be the work of AI.

The woke agenda is going to be rendered obsolete as well",United States,0,positive
19,2023-05-20 14:23:37+00:00,ur_localdreamer,RT @MerrillBarr: As everyone has predicted: attempted AI takeover for actors was always going to start with VO work. Make sure you vote yes…,"Los Angeles, CA",61,positive
20,2023-05-20 14:22:53+00:00,JaponaiseMouse,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,Eastern Hemisphere,317,negative
21,2023-05-20 14:22:51+00:00,ThePresidentTX,@WallStreetSilv So they will protest and Hollywood will die. The new Hollywood will be scripts by AI using non union actors.,Republic of Texas,0,negative
22,2023-05-20 14:22:09+00:00,tararoonies,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",Limerick,101,neutral
23,2023-05-20 14:22:09+00:00,make_it_chibi,RT @Lisalisejam: 1/1 Hey Guys! Just a note.. I'm all about #Fandom and fan subs. But #AI makes things weird. Cloning an actors voice withou…,Puerto Rico,260,neutral
24,2023-05-20 14:21:29+00:00,spuddonna,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…",,101,neutral
25,2023-05-20 14:21:26+00:00,Pennsy6750,RT @PDakkadakka: As an actual Factory Worker who has experienced machines and low skilled labor ruin wages and job markets. I smile when I…,"Pitcairn Yards, 1933",317,negative
26,2023-05-20 14:20:46+00:00,foleyexpresscs,RT @oldschoolfrisby: This shit is an insult to voice actors. Say no to AI,,7,negative
27,2023-05-20 14:20:02+00:00,tenomeq,RT @JoJoesArt: My friend who works for a company selling audiobooks just told me that their boss is replacing almost all their voice actors…,netherlands,4102,neutral
28,2023-05-20 14:17:02+00:00,jetpen,AI does not cause productivity loss due to labor disruption. What leverage do writers and actors think they have to negotiate with? https://t.co/FOFWR6riV4,"Frisco, TX",0,negative
29,2023-05-20 14:16:09+00:00,mattharrymh,"RT @JustineBateman: Show them how it’s done. 

They want to replace us w/ #AI? Chop up our past scripts &amp; bring out resulting patchwork fil…","LA, CA",101,neutral
30,2023-05-20 14:13:41+00:00,W4RP3DNYL15M,"RT @MicheleKnotz: @elevenlabsio is currently using voice actors' voices illegally with AI. 

https://t.co/FbeEFc82S2

""Pokemon Cosmic Quest…",crown tundra,118,positive
