Unnamed: 0,Time,User,Tweet,Location,Retweets,cleaned_tweet,label
,,,"I'm rather looking forward to replacing the Penn's of the world with an AI. Start with the writers, sure, then obnoxious actors.WHAT is the old quip about makers of buggy whips? Where was the sympathy for them when technology overtook their profession? Big smile now, Sean!!",,,rather looking forward replacing penn world start writer sure obnoxious actors.what old quip maker buggy whip sympathy technology overtook profession big smile sean,positive
,,,"I booked a total of guests this week for spots on the pod between now and nd week of June. Must. Add. More. Some cool folks will be dropping by including an AI researcher (!!!), comedians, actors, The Queen of JAM, Bri from NumoSpect, creator of",,,booked total guest week spot pod week june must add cool folk dropping including researcher comedian actor queen jam bri numospect creator,positive
,,,"I booked a total of guests this week for spots on the pod between now end nd week of June. Must. Add. More. Some cool folks will be dropping by including an AI researcher (!!!), comedians, actors, The Queen of JAM, Bri from NumoSpect, creator of",,,booked total guest week spot pod end week june must add cool folk dropping including researcher comedian actor queen jam bri numospect creator,positive
,,,"Film producers are the obsolete group... actors like Tom Cruise understand the craft of storytelling, and expressing that in an ideal fashion will be the work of AI.The woke agenda is going to be rendered obsolete as well",,,film producer obsolete group actor like tom cruise understand craft storytelling expressing ideal fashion work .the woke agenda going rendered obsolete well,positive
,,,So they will protest and Hollywood will die. The new Hollywood will be scripts by AI using non union actors.,,,protest hollywood die new hollywood script using non union actor,negative
,,,AI does not cause productivity loss due to labor disruption. What leverage do writers and actors think they have to negotiate with?,,,cause productivity loss due labor disruption leverage writer actor think negotiate,negative
,,,"They are trying to strike about this at the wrong time imo. AI is an augmentation tool currently. Making films better and faster, only replacing redundant work. They have been able to recreate actors with cgi for a while now. No AI needed, AI will makes it cheaper. Next?",,,trying strike wrong time imo augmentation tool currently making film better faster replacing redundant work able recreate actor cgi needed make cheaper next,negative
,,,Do they believe that an SEC-like regulatory body should be formed to keep AI out of the hands of bad actors?,,,believe sec-like regulatory body formed keep hand bad actor,negative
,,,"Perhaps we should have an annual Inadequate Civilizational AI Risk Preparation Mourning Day and offer prizes to whoever can produce artworks, such as speeches or short stories, that are most likely to motivate coordination from relevant actors.",,,perhaps annual inadequate civilizational risk preparation mourning day offer prize whoever produce artwork speech short story likely motivate coordination relevant actor,negative
,,,"The current secretary of defense is Black, the incoming joint chief of staff is Black, the SEA is Black, the current AI Czar is Black, not to mention all of the Black leadership at the state and municipal levels thats just government actors.Well make it.",,,current secretary defense black incoming joint chief staff black sea black current czar black mention black leadership state municipal level thats government actors.well make,positive
,,,Dont worry erika! The AI wont have as much emotion as real voice actors!! The love for characters &amp; devotion in the story of VAs CANT be replaced AIWe respect you all and love ur voice actscuz of you guys I aspire to be a voice actor as well(),,,dont worry erika wont much emotion real voice actor love character amp devotion story va cant replaced aiwe respect love voice actscuz guy aspire voice actor well,positive
,,,"Real voice actors &gt; hollow robot voicesFor the sake of your integrity, don't use AI voices. You can find real VAs easily.",,,real voice actor hollow robot voicesfor sake integrity use voice find real va easily,positive
,,,"I see what you are saying (if you are not in fact AI!) and I would like to see real actors in the TV and film I watch. However, striking has never worked against new technologies since the 's so it probably won't work now. You might have to find new creative ways to use your",,,see saying fact would like see real actor film watch however striking never worked new technology since probably work might find new creative way use,positive
,,,"I dont think people are gonna get into AI movies and actors. Unless the AI gets so good theyre able to trick people into thinking the actors are real.It will have to be a really big lie with AI awards shows, celebrity gossip media about AI actors all propping up this lie.",,,dont think people gon na get movie actor unless get good theyre able trick people thinking actor real really big lie award show celebrity gossip medium actor propping lie,positive
,,,"And on top of it all, actors who never get sick, dont need pension and health, get into culture war scandals. Just pay a image license fee to their estates and a script made by AI with no residuals or line item paysthats where it is going. I dont want it to be but it is.",,,top actor never get sick dont need pension health get culture war scandal pay image license fee estate script made residual line item paysthats going dont want,negative
,,,"AI's evolution leaves me speechless, and it just did a mic drop with DragGAN. With this groundbreaking technology, you become the director, and pixels are your actors. Play with poses, tweak shapes, and rearrange reality with a simple drag. Mind-blowing.",,,evolution leaf speechless mic drop draggan groundbreaking technology become director pixel actor play pose tweak shape rearrange reality simple drag mind-blowing,negative
,,,"AI is a threat to writers, actors and directors.",,,threat writer actor director,negative
,,,This shit is an insult to voice actors. Say no to AI,,,shit insult voice actor say,negative
,,,"Yes, thats the bright future of already well know actors... they just need to sell their IP to creators / studios, retiring on their lifes achievment.",,,yes thats bright future already well know actor need sell creator studio retiring life achievment,positive
,,,Thanks for proving just why we need to be backing these writers and actors who are striking against the use of Ai. By dropping this hideous ass video she has single-handedly showed us why its important to keep REAL creatives in the storytelling seats of Hollywood.,,,thanks proving need backing writer actor striking use dropping hideous as video single-handedly showed important keep real creatives storytelling seat hollywood,positive
,,,See u showed us what Keanu showed us they dont need actors no more to act they got ai ti take ur jobs now,,,see showed keanu showed dont need actor act got take job,neutral
,,,More and more you sound like you're working for bad actors. Now you're harvesting people's voices? Why? To be able to AI and make compromising recordings?Sounds nefarious.PUBLIC: BEWARE,,,sound like working bad actor harvesting people voice able make compromising recording sound nefarious.public beware,negative
,,,"I'm not saying that Youtubers aren't creators, but like the actors, they are the last one that will be bothered by AI. They all will have the live easier, especially when they are already so rich, while we all die.",,,saying youtubers creator like actor last one bothered live easier especially already rich die,positive
,,,"AI can replace actors. The movie Gemini Man, they created a younger clone of Will Smith. Robin Williams's face is not allowed to be cloned. Paul Walker was brought to life in Furious",,,replace actor movie gemini man created younger clone smith robin williams face allowed cloned paul walker brought life furious,negative
,,,We wont need actors or writers soon thanks to AI,,,wont need actor writer soon thanks,positive
