Unnamed: 0,Time,User,Tweet,Location,Retweets,cleaned_tweet
,,,"I'm rather looking forward to replacing the Penn's of the world with an AI. Start with the writers, sure, then obnoxious actors. WHAT is the old quip about makers of buggy whips? Where was the sympathy for them when technology overtook their profession? Big smile now, Sean!!",,,rather looking forward replacing penn world ai start writer sure obnoxious actor old quip maker buggy whip sympathy technology overtook profession big smile sean
,,,"I booked a total of guests this week for spots on the pod between now and nd week of June. Must. Add. More. Some cool folks will be dropping by including an AI researcher (!!!), comedians, actors, The Queen of JAM, Bri from NumoSpect, creator of",,,booked total guest week spot week june must cool folk dropping including ai researcher comedian actor queen bri numospect creator
,,,"I booked a total of guests this week for spots on the pod between now end nd week of June. Must. Add. More. Some cool folks will be dropping by including an AI researcher (!!!), comedians, actors, The Queen of JAM, Bri from NumoSpect, creator of",,,booked total guest week spot end week june must cool folk dropping including ai researcher comedian actor queen bri numospect creator
,,,"Film producers are the obsolete group... actors like Tom Cruise understand the craft of storytelling, and expressing that in an ideal fashion will be the work of AI. The woke agenda is going to be rendered obsolete as well",,,film producer obsolete group actor like cruise understand storytelling expressing ideal fashion work ai woke agenda going rendered obsolete well
,,,So they will protest and Hollywood will die. The new Hollywood will be scripts by AI using non union actors.,,,protest hollywood die new hollywood script ai using non union actor
,,,AI does not cause productivity loss due to labor disruption. What leverage do writers and actors think they have to negotiate with?,,,ai cause productivity loss due labor disruption leverage writer actor think negotiate
,,,"They are trying to strike about this at the wrong time imo. AI is an augmentation tool currently. Making films better and faster, only replacing redundant work. They have been able to recreate actors with cgi for a while now. No AI needed, AI will makes it cheaper. Next?",,,trying strike wrong ai augmentation tool currently making film better faster replacing redundant work able recreate actor cgi ai needed ai make cheaper next
,,,Do they believe that an SEC-like regulatory body should be formed to keep AI out of the hands of bad actors?,,,believe sec-like regulatory body formed keep ai hand bad actor
,,,"Perhaps we should have an annual Inadequate Civilizational AI Risk Preparation Mourning Day and offer prizes to whoever can produce artworks, such as speeches or short stories, that are most likely to motivate coordination from relevant actors.",,,perhaps annual inadequate civilizational ai risk preparation mourning day offer prize whoever produce artwork speech short story likely motivate coordination relevant actor
,,,"The current secretary of defense is Black, the incoming joint chief of staff is Black, the SEA is Black, the current AI Czar is Black, not to mention all of the Black leadership at the state and municipal levels thats just government actors. Well make it.",,,current secretary defense black incoming joint chief staff black sea black current ai czar black mention black leadership state municipal level thats government actor well make
,,,Dont worry erika! The AI wont have as much emotion as real voice actors!! The love for characters &amp; devotion in the story of VAs CANT be replaced AI We respect you all and love ur voice actscuz of you guys I aspire to be a voice actor as well(),,,dont worry erika ai wont much emotion real voice actor character devotion story va cant replaced ai respect voice actscuz guy aspire voice actor well
,,,"Real voice actors &gt; hollow robot voices For the sake of your integrity, don't use AI voices. You can find real VAs easily.",,,real voice actor hollow robot voice sake integrity use ai voice find real va easily
